,wardrobe_size,wardrobe_color,wardrobe_style,wardrobe_price,wardrobe_designer,scores,wardrobe_id
6671,2,2,2,0,403,-1.8071514,1610942381312
4879,2,2,2,0,395,-1.8071514,1606267285849
379,2,2,2,0,195,-1.8071514,1596675881742
4781,4,8,6,0,480,-1.8387324,1606056473459
6277,2,2,6,500,403,-1.8410462,1609845109152
6338,2,2,6,500,403,-1.8410462,1609845876097
3975,2,2,6,500,403,-1.8410462,1604969322395
3224,2,2,6,500,403,-1.8410462,1602011595368
4428,2,2,6,500,403,-1.8410462,1605663193828
2709,2,2,6,500,403,-1.8410462,1600215542210
5110,4,2,9,0,480,-1.8557143,1607378984085
3569,4,2,8,0,480,-1.8557143,1603393863113
5211,4,2,7,0,480,-1.8557143,1607932014810
1554,4,2,9,0,485,-1.8557143,1597292805287
5045,4,2,8,0,480,-1.8557143,1607040117138
4473,4,2,8,0,480,-1.8557143,1605663231053
3492,4,2,10,0,480,-1.8557143,1602958495026
1099,0,21,6,500,763,-1.8746436,1596926811478
7868,4,12,2,0,157,-1.8761495,1612319007343
5867,4,12,2,0,157,-1.8761495,1608697233029
4171,4,15,2,0,795,-1.8933051,1605575651508
5135,4,15,2,0,852,-1.8933051,1607483824827
3011,4,15,2,0,783,-1.8933051,1601241912811
6105,4,15,2,0,806,-1.8933051,1609817311324
3829,4,13,2,0,778,-1.8933051,1604529246585
2553,4,15,2,0,801,-1.8933051,1599751277649
1275,4,20,1,500,763,-1.9043809,1596936006385
389,4,20,0,500,763,-1.9043809,1596692094041
935,4,20,0,500,763,-1.9043809,1596863497766
674,4,20,1,500,763,-1.9043809,1596787167483
348,4,20,0,500,763,-1.9043809,1596647717405
1647,0,20,6,0,673,-1.9109894,1597712640522
2487,0,20,6,0,673,-1.9109894,1599656334469
3404,4,20,0,0,634,-1.9234582,1602520140474
3801,2,2,2,0,632,-1.9766521,1604376019876
4163,2,2,2,0,632,-1.9766521,1605569378383
6699,2,20,2,0,480,-1.9996214,1590203894997
5054,2,20,6,500,673,-2.0011294,1607076215259
5836,4,2,3,0,763,-2.0082173,1608432902653
1529,0,20,2,0,783,-2.031019,1597190108743
6474,0,20,2,0,801,-2.031019,1609977226600
52,4,0,2,500,763,-2.0339172,1596577526432
1050,4,0,2,500,763,-2.0339172,1596880276304
1353,4,0,2,500,763,-2.0339172,1596940549365
5163,4,8,3,0,32,-2.0590026,1607631270088
6891,0,0,6,0,127,-2.061816,1611969626456
5204,0,9,2,0,480,-2.0735953,1607932010175
401,4,21,1,500,763,-2.076334,1596692952716
665,4,21,1,500,763,-2.076334,1596786556765
6130,4,20,6,500,724,-2.083145,1609839462620
1113,4,8,6,0,763,-2.0852547,1596927420858
739,4,2,6,0,763,-2.0852547,1596790661239
1207,4,8,6,0,763,-2.0852547,1596931866611
725,4,6,6,0,763,-2.0852547,1596789526386
496,4,2,6,0,763,-2.0852547,1596704441245
784,4,8,6,0,763,-2.0852547,1596835356599
5186,2,20,6,0,398,-2.0887983,1607813645242
2576,2,20,6,0,299,-2.0887983,1599798964601
7133,2,0,6,0,571,-2.0918405,1612168639490
7121,2,0,6,0,571,-2.0918405,1612168631845
1987,2,0,6,0,571,-2.0918405,1597990778830
6983,2,0,6,0,571,-2.0918405,1612168489439
7785,2,0,6,0,571,-2.0918405,1612169146478
2042,2,0,6,0,571,-2.0918405,1597990873313
7729,2,0,6,0,571,-2.0918405,1612169113821
7688,2,0,6,0,571,-2.0918405,1612169091296
2069,2,0,6,0,571,-2.0918405,1597990922167
2234,0,9,6,500,480,-2.0946054,1598600380306
6491,2,9,6,0,743,-2.0973103,1610021181967
3378,2,9,6,0,673,-2.0973103,1602442538827
6610,2,9,3,0,787,-2.1003573,1609232117460
696,8,20,6,500,763,-2.121454,1596787926120
1153,8,20,6,500,763,-2.121454,1596928917958
1156,18,20,6,500,763,-2.121454,1596928951346
1157,10,20,6,500,763,-2.121454,1596928986666
706,12,20,6,500,763,-2.121454,1596788559515
1158,12,20,6,500,763,-2.121454,1596928986668
698,12,20,6,500,763,-2.121454,1596787951416
1245,8,20,6,500,763,-2.121454,1596934670740
695,6,20,6,500,763,-2.121454,1596787914069
697,10,20,6,500,763,-2.121454,1596787939169
818,12,20,6,500,763,-2.121454,1596839319827
4114,2,6,11,0,480,-2.1346884,1605461792436
4936,2,9,10,0,485,-2.135043,1606635399782
6812,2,21,6,0,299,-2.14203,1597098636182
6688,2,15,6,0,480,-2.1478858,1611007867255
2750,2,15,10,0,632,-2.1620834,1600297159958
3112,2,13,7,0,632,-2.1620834,1601639955449
3485,2,2,7,0,632,-2.1860175,1600915983759
3329,2,13,2,0,632,-2.1866832,1599785992780
4169,2,12,2,0,632,-2.1866832,1605570260741
4165,2,15,2,0,632,-2.1866832,1605569598823
6381,6,20,6,0,801,-2.199187,1609846398935
4732,26,20,6,0,815,-2.199187,1605935613164
6440,6,20,6,0,801,-2.199187,1609975155517
3167,8,9,2,0,795,-2.2002165,1601851302779
1512,6,9,2,0,796,-2.2002165,1597123441555
6666,2,9,6,0,56,-2.2161088,1610934752275
6740,2,20,10,0,480,-2.2252684,1611270669383
7886,2,20,8,0,480,-2.2252684,1573094492112
5803,2,20,9,0,480,-2.2252684,1608185540709
3273,2,20,2,0,673,-2.226714,1602098981705
4900,2,20,2,0,673,-2.226714,1606368857863
5141,2,20,2,0,673,-2.226714,1607530886127
4168,2,20,2,0,673,-2.226714,1605570165936
2543,2,20,2,0,673,-2.226714,1599709198210
5049,2,20,2,0,673,-2.226714,1607050466910
1217,0,9,6,0,763,-2.2295556,1596933214335
4834,4,9,6,0,673,-2.2354922,1606176314556
890,4,9,6,0,712,-2.2354922,1591933793285
1599,4,9,6,0,743,-2.2354922,1597453047989
3341,4,9,6,0,712,-2.2354922,1602310806888
3758,0,2,6,500,632,-2.2482235,1604104760124
2668,6,0,2,0,157,-2.2495637,1600095804100
3805,8,0,2,0,157,-2.2495637,1604412120267
2183,2,2,8,0,59,-2.2535777,1598493812085
5667,2,2,8,0,23,-2.2535777,1607985736384
3660,2,2,9,0,84,-2.2535777,1603745798096
5513,2,2,9,0,23,-2.2535777,1607985559645
5689,2,2,8,0,23,-2.2535777,1607985758592
5337,2,2,9,0,23,-2.2535777,1607985459502
4994,2,2,9,0,23,-2.2535777,1606878751054
3722,2,2,8,0,38,-2.2535777,1603934754053
3424,2,2,8,0,127,-2.2535777,1602564794814
5755,2,2,7,0,23,-2.2535777,1607985817262
5733,2,2,9,0,23,-2.2535777,1607985805725
5491,2,2,9,0,23,-2.2535777,1607985546528
3859,2,2,11,0,48,-2.2535777,1604609596699
5502,2,2,9,0,23,-2.2535777,1607985552644
8107,2,2,9,0,21,-2.2535777,1613161836575
6796,4,9,3,0,673,-2.2595246,1611595772616
1402,4,12,2,500,763,-2.2633862,1596951173830
1365,4,19,2,500,763,-2.2633862,1596940997498
1379,4,19,2,500,763,-2.2633862,1596950037392
1382,4,19,2,500,763,-2.2633862,1596950146440
190,4,19,2,500,763,-2.2633862,1596599247705
38,4,10,2,500,763,-2.2633862,1596576641858
6336,0,2,6,500,403,-2.269076,1609845875721
6682,0,2,6,500,398,-2.269076,1610996381428
6276,0,2,6,500,403,-2.269076,1609845108940
6337,0,2,6,500,403,-2.269076,1609845875923
4739,4,2,0,0,480,-2.2988725,1605973549317
4803,4,2,0,0,480,-2.2988725,1606104961328
7893,4,2,0,0,480,-2.2988725,1612385189604
6514,4,2,0,0,480,-2.2988725,1609822819129
5860,4,20,2,0,73,-2.3233235,1608691046163
8001,4,20,6,500,480,-2.3356977,1612885220299
2970,2,20,8,0,783,-2.346273,1601079493387
2379,2,20,9,0,783,-2.346273,1599417510153
4075,2,20,9,0,781,-2.346273,1605288727974
5153,2,20,10,0,781,-2.346273,1607557908250
5159,4,0,6,500,480,-2.3530073,1607558205752
6876,4,15,2,0,632,-2.353091,1611890402936
2312,4,15,2,0,632,-2.353091,1599098240961
8146,0,0,6,0,382,-2.3537407,1613279177695
8150,0,0,6,0,382,-2.3537407,1613280220737
4197,0,0,6,0,438,-2.3537407,1605626977985
4907,0,0,6,0,398,-2.3537407,1606420728495
2993,0,0,6,0,403,-2.3537407,1601160713071
1397,8,20,2,0,763,-2.3581517,1596950962687
2813,6,20,2,0,763,-2.3581517,1600542935611
115,14,20,2,0,763,-2.3581517,1596580211279
482,12,20,2,0,763,-2.3581517,1596703230742
174,6,20,2,0,763,-2.3581517,1596598511639
114,10,20,2,0,763,-2.3581517,1596580197043
144,6,20,2,0,763,-2.3581517,1596581903631
145,6,20,2,0,763,-2.3581517,1596581914515
113,8,20,2,0,763,-2.3581517,1596580183480
146,6,20,2,0,763,-2.3581517,1596581924387
112,6,20,2,0,763,-2.3581517,1596580172632
464,10,20,2,0,763,-2.3581517,1596700865750
175,10,20,2,0,763,-2.3581517,1596598523142
111,6,20,2,0,763,-2.3581517,1596580160891
176,10,20,2,0,763,-2.3581517,1596598533204
177,12,20,2,0,763,-2.3581517,1596598544546
178,16,20,2,0,763,-2.3581517,1596598555461
467,6,20,2,0,763,-2.3581517,1596702379232
1398,10,20,2,0,763,-2.3581517,1596950984598
1399,16,20,2,0,763,-2.3581517,1596950984600
5870,4,21,6,5000,710,-2.3586714,1608704015185
3523,4,20,1,500,808,-2.3710146,1603219173254
5795,4,21,2,0,480,-2.3748593,1607364567170
2716,2,0,2,0,633,-2.3793685,1600226664460
4166,2,0,2,0,632,-2.3793685,1605569772526
2538,2,0,2,0,632,-2.3793685,1599704357827
4090,4,2,6,0,632,-2.3884356,1576534073950
5668,4,2,8,0,23,-2.3904352,1607985736977
5492,4,2,9,0,23,-2.3904352,1607985547165
5734,4,2,9,0,23,-2.3904352,1607985806235
5514,4,2,9,0,23,-2.3904352,1607985560387
5756,4,2,7,0,23,-2.3904352,1607985817746
6809,4,2,8,0,48,-2.3904352,1611675739096
2294,4,2,7,0,15,-2.3904352,1598984220020
5503,4,2,9,0,23,-2.3904352,1607985553398
5939,4,2,8,0,144,-2.3904352,1609010361488
4069,4,2,7,0,73,-2.3904352,1605268698200
5338,4,2,9,0,23,-2.3904352,1607985460418
5690,4,2,8,0,23,-2.3904352,1607985759569
